Sub-Category ,Product_Name,Model_Number,Size,Power_W,Voltage,CCT,CRI_RA,Lumen,Efficacy_Lumen_per_W,Dimming_Type,Material_Finish,Sensors_and_Controls,Occupancy,Bi_Level,PIR_Microwave_Bluetooth,Remote Control,Plugin _Sensor,Emergency_Backup_Battery,Junction_Cover,Mounting,Installation_Kits,Adjustment_Dial,Certifications,Price_per_Piece,Lead_Time,Cut_Sheet,Warranty,MOQ,COST_China_DDP_USA,COST_Thailand_Vietnam,Photo,IP_Rating
LED Downlight Series,LED Ultra Slim Downlight,FXF01185E-7A5T90W,4'',7.5W,AC120V,"2.7-5k, Tunable",80,615lm,82lm/w,0-10V,White-Aluminum,N/A,N/A,N/A,,no,,,,Recessed,,,ETL DLC FCC ES T24 CP65,,75 days,https://drive.google.com/file/d/1bc-40WJFu2nKs0LR9NxoweTLGURpR1ds/view?usp=drive_link,5 Yr,"5,000",2.94 (Ningbo),$3.46,https://drive.google.com/file/d/1Bx8POa0xVolFubzCy_06HO1FOmFiFNHH/view?usp=sharing,
LED Downlight Series,LED Ultra Slim Downlight,FXF01185E-9A5T90W,4'',9W,AC120V,"2.7-5k, Tunable",80,738lm,82lm/w,0-10V,White-Aluminum,N/A,N/A,N/A,,no,,,,Recessed,,,ETL DLC FCC ES T24 CP65,,75 days,https://drive.google.com/file/d/1bc-40WJFu2nKs0LR9NxoweTLGURpR1ds/view?usp=drive_link,5 Yr,"5,000",2.94 (Ningbo),$3.46,https://drive.google.com/file/d/1Bx8POa0xVolFubzCy_06HO1FOmFiFNHH/view?usp=sharing,
LED Downlight Series,LED Ultra Slim Downlight,FXF01185E-12A5T90W,6'',12W,AC120V,"2.7-5k, Tunable",80,984lm,82lm/w,0-10V,White-Aluminum,N/A,N/A,N/A,,no,,,,Recessed,,,ETL DLC FCC ES T24 CP66,,75 days,https://drive.google.com/file/d/1bc-40WJFu2nKs0LR9NxoweTLGURpR1ds/view?usp=drive_link,5 Yr,"5,000",3.90 (Ningbo),$4.59,https://drive.google.com/file/d/1Bx8POa0xVolFubzCy_06HO1FOmFiFNHH/view?usp=sharing,
LED Downlight Series,LED Ultra Slim Downlight,FXF01185E-17A5T90W,8'',17W,AC120V,"2.7-5k, Tunable",80,1394lm,82lm/w,0-10V,White-Aluminum,N/A,N/A,N/A,,no,,,,Recessed,,,ETL DLC FCC ES T24 CP67,,75 days,https://drive.google.com/file/d/1bc-40WJFu2nKs0LR9NxoweTLGURpR1ds/view?usp=drive_link,5 Yr,"5,000",5.88 (Ningbo),$6.92,https://drive.google.com/file/d/1Bx8POa0xVolFubzCy_06HO1FOmFiFNHH/view?usp=sharing,
LED Downlight Series,LED Ultra Slim Downlight,FXF01185E-18A5T90W,8'',18W,AC120V,"2.7-5k, Tunable",80,1476lm,82lm/w,0-10V,White-Aluminum,N/A,N/A,N/A,,no,,,,Recessed,,,ETL DLC FCC ES T24 CP67,,75 days,https://drive.google.com/file/d/1bc-40WJFu2nKs0LR9NxoweTLGURpR1ds/view?usp=drive_link,5 Yr,"5,000",5.88 (Ningbo),$6.92,https://drive.google.com/file/d/1Bx8POa0xVolFubzCy_06HO1FOmFiFNHH/view?usp=sharing,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED Downlight Series,LED Ultra Slim Downlight,HS-STC509WH,"4""",9W,AC110-130V,"2.7-5k, Tunable",80,720lm,70-90lm/W,Triac,White-Aluminum,N/A,N/A,N/A,,no,,,,Recessed,,,ETL ES FCC,,75 days,https://docs.google.com/spreadsheets/d/1c5IZBxwWOWWz-l0IuT3zEqp942sRIsd5/edit?usp=drive_link&ouid=108502356149815945805&rtpof=true&sd=true,3 Yr,"5,000",,$2.34,https://drive.google.com/file/d/1f6iggBDm6UddmfZxn5ZNWnw8KR9dkUQC/view?usp=sharing,
LED Downlight Series,LED Ultra Slim Downlight,HS-STC515WH,"6""",15W,AC110-130V,"2.7-5k, Tunable",80,1200lm,70-90lm/W,Triac,White-Aluminum,N/A,N/A,N/A,,no,,,,Recessed,,,ETL ES FCC,,75 days,https://docs.google.com/spreadsheets/d/1c5IZBxwWOWWz-l0IuT3zEqp942sRIsd5/edit?usp=drive_link&ouid=108502356149815945805&rtpof=true&sd=true,3 Yr,"5,000",,$3.01,https://drive.google.com/file/d/1f6iggBDm6UddmfZxn5ZNWnw8KR9dkUQC/view?usp=sharing,
LED Downlight Series,LED Ultra Slim Downlight,HS-STC518WH,"8""",18W,AC110-130V,"2.7-5k, Tunable",80,1440lm,70-90lm/W,Triac,White-Aluminum,N/A,N/A,N/A,,no,,,,Recessed,,,ETL ES FCC,,75 days,https://docs.google.com/spreadsheets/d/1c5IZBxwWOWWz-l0IuT3zEqp942sRIsd5/edit?usp=drive_link&ouid=108502356149815945805&rtpof=true&sd=true,3 Yr,"5,000",,$3.95,https://drive.google.com/file/d/1f6iggBDm6UddmfZxn5ZNWnw8KR9dkUQC/view?usp=sharing,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED Downlight Series,LED Ultra Slim Downlight,ARVL-HY-USDL-R4-9W-5CCT,"4""",9W,AC120,"2.7-5k, Tunable",80,700lm,70-90lm/W,Triac,White/Nickle/Black-Aluminum,N/A,N/A,N/A,,no,,,,Recessed,,,ETL ES FCC,,75 days,https://drive.google.com/file/d/1-aRBlFTfv5kaE94gUsClWAJk0Wu0Ha_8/view?usp=drive_link,5 Yr,"1,000",,$2.05,https://drive.google.com/file/d/1VJyr0VPRS4Jp7sqdVjfg6et2QPEdxcyx/view?usp=sharing,
LED Downlight Series,LED Ultra Slim Downlight,ARVL-HY-USDL-R6-12W-5CCT,"6""",12W,AC120,"2.7-5k, Tunable",80,900lm,70-90lm/W,Triac,White/Nickle/Black-Aluminum,N/A,N/A,N/A,,no,,,,Recessed,,,ETL ES FCC,,75 days,https://drive.google.com/file/d/1-aRBlFTfv5kaE94gUsClWAJk0Wu0Ha_8/view?usp=drive_link,5 Yr,"1,000",,$2.75,https://drive.google.com/file/d/1VJyr0VPRS4Jp7sqdVjfg6et2QPEdxcyx/view?usp=sharing,
LED Downlight Series,LED Ultra Slim Downlight,Special Order (Keep on list or not?),"8""",18W,AC120,"2.7-5k, Tunable",80,1440lm,70-90lm/W,Triac,White/Nickle/Black-Aluminum,N/A,N/A,N/A,,no,,,,Recessed,,,ETL ES FCC,,75 days,https://drive.google.com/file/d/1-aRBlFTfv5kaE94gUsClWAJk0Wu0Ha_8/view?usp=drive_link,5 Yr,"1,000",,$6.50,https://drive.google.com/file/d/1VJyr0VPRS4Jp7sqdVjfg6et2QPEdxcyx/view?usp=sharing,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
